"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","label"
1,971,0.182724877681596,5314,""
3,915,0.177394338891043,5158,""
5,879,0.175835167033407,4999,""
7,822,0.169940045482737,4837,""
9,780,0.166134185303514,4695,""
11,741,0.163179916317992,4541,""
13,693,0.157822819403325,4391,""
15,654,0.153882352941176,4250,""
17,624,0.151861766853249,4109,""
19,579,0.146433990895296,3954,"3954"
21,548,0.144438587243015,3794,""
23,512,0.139471533642059,3671,""
25,475,0.13501989766913,3518,""
27,442,0.130614657210402,3384,""
29,425,0.129969418960245,3270,""
31,390,0.12396694214876,3146,""
33,358,0.118386243386243,3024,""
35,338,0.115793079821857,2919,""
37,310,0.111111111111111,2790,""
39,295,0.109218807848945,2701,"2701"
41,274,0.105587668593449,2595,""
43,254,0.102378073357517,2481,""
45,238,0.09979035639413,2385,""
47,217,0.0951754385964912,2280,""
49,201,0.0917808219178082,2190,""
51,183,0.0872259294566254,2098,""
53,169,0.0846693386773547,1996,""
55,161,0.0840292275574113,1916,""
57,147,0.080327868852459,1830,""
59,141,0.0803418803418803,1755,"1755"
61,130,0.0782190132370638,1662,""
63,123,0.0777496839443742,1582,""
65,117,0.0769230769230769,1521,""
67,106,0.0731538992408558,1449,""
69,94,0.0681159420289855,1380,""
71,84,0.0643185298621746,1306,""
73,78,0.0630048465266559,1238,""
75,74,0.0622895622895623,1188,""
77,71,0.062280701754386,1140,""
79,63,0.0580110497237569,1086,"1086"
81,54,0.0518731988472622,1041,""
83,50,0.0505561172901921,989,""
85,44,0.0473627556512379,929,""
87,39,0.0449308755760369,868,""
89,36,0.0436893203883495,824,""
91,32,0.0406091370558376,788,""
93,31,0.041005291005291,756,""
95,28,0.0388888888888889,720,""
97,24,0.0351906158357771,682,""
99,21,0.032258064516129,651,"651"
101,19,0.0310457516339869,612,""
103,18,0.0309278350515464,582,""
105,16,0.0294659300184162,543,""
107,16,0.031434184675835,509,""
109,14,0.0295983086680761,473,""
111,13,0.0289532293986637,449,""
113,13,0.0303738317757009,428,""
115,13,0.0318627450980392,408,""
117,11,0.029023746701847,379,""
119,8,0.0220994475138122,362,"362"
121,7,0.0201149425287356,348,""
123,6,0.018348623853211,327,""
125,6,0.0191082802547771,314,""
127,6,0.0205479452054795,292,""
129,5,0.0180505415162455,277,""
131,5,0.0192307692307692,260,""
133,5,0.0206611570247934,242,""
135,5,0.0217391304347826,230,""
137,3,0.0140845070422535,213,""
139,3,0.0149253731343284,201,"201"
141,3,0.0157068062827225,191,""
143,3,0.0171428571428571,175,""
145,3,0.0181818181818182,165,""
147,3,0.0189873417721519,158,""
149,2,0.0137931034482759,145,""
151,2,0.0144927536231884,138,""
153,2,0.015625,128,""
155,1,0.00847457627118644,118,""
157,1,0.00900900900900901,111,""
159,1,0.00943396226415094,106,"106"
161,1,0.0101010101010101,99,""
163,1,0.0106382978723404,94,""
165,1,0.0112359550561798,89,""
167,1,0.0128205128205128,78,""
169,1,0.0138888888888889,72,""
171,0,0,66,""
173,0,0,58,""
175,0,0,49,""
177,0,0,47,""
179,0,0,43,"43"
181,0,0,42,""
183,0,0,36,""
185,0,0,32,""
187,0,0,29,""
189,0,0,27,""
191,0,0,23,""
193,0,0,22,""
195,0,0,19,""
197,0,0,15,""
199,0,0,12,"12"
201,0,0,9,""
203,0,0,7,""
205,0,0,6,""
207,0,0,2,""
209,0,0,2,""
