"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size"
1,35,0.380434782608696,92
3,107,0.428,250
5,180,0.448877805486284,401
7,246,0.447272727272727,550
9,303,0.442982456140351,684
11,387,0.450523864959255,859
13,451,0.451451451451451,999
15,515,0.452946350043975,1137
17,592,0.458559256390395,1291
19,666,0.461858529819695,1442
21,737,0.462939698492462,1592
23,796,0.460914881297047,1727
25,873,0.465848452508004,1874
27,943,0.472681704260652,1995
29,1006,0.477682811016144,2106
31,1075,0.479910714285714,2240
33,1130,0.481876332622601,2345
35,1196,0.48421052631579,2470
37,1249,0.484296238852268,2579
39,1314,0.491582491582492,2673
41,1376,0.494786048184106,2781
43,1448,0.501211491865697,2889
45,1501,0.503691275167785,2980
47,1560,0.50600064871878,3083
49,1618,0.509606299212598,3175
51,1673,0.510995723885156,3274
53,1734,0.515151515151515,3366
55,1783,0.516811594202899,3450
57,1834,0.519546742209632,3530
59,1891,0.523967858132447,3609
61,1943,0.525703463203463,3696
63,1993,0.529068224050969,3767
65,2043,0.532447224394058,3837
67,2086,0.534186939820743,3905
69,2126,0.535921351146962,3967
71,2188,0.539580764488286,4055
73,2232,0.542537676227516,4114
75,2260,0.54444712117562,4151
77,2301,0.546555819477435,4210
79,2323,0.546845574387947,4248
81,2360,0.548327137546468,4304
83,2405,0.550469214923323,4369
85,2448,0.553345388788427,4424
87,2483,0.554984354045597,4474
89,2509,0.556442670215125,4509
91,2538,0.55792481864146,4549
93,2561,0.558926233085989,4582
95,2590,0.561456752655539,4613
97,2619,0.562862669245648,4653
99,2646,0.564058836069068,4691
101,2674,0.566285472257518,4722
103,2699,0.567493692178301,4756
105,2730,0.569937369519833,4790
107,2758,0.571843251088534,4823
109,2790,0.574074074074074,4860
111,2812,0.575757575757576,4884
113,2822,0.575918367346939,4900
115,2841,0.57732168258484,4921
117,2863,0.578500707213578,4949
119,2878,0.57942419971814,4967
121,2886,0.579634464751958,4979
123,2904,0.581032412965186,4998
125,2922,0.582535885167464,5016
127,2938,0.58351539225422,5035
129,2950,0.584042763809147,5051
131,2964,0.584961515689757,5067
133,2981,0.586118757373181,5086
135,2993,0.58709297763829,5098
137,3005,0.587717582632505,5113
139,3016,0.588602654176425,5124
141,3029,0.589643760949971,5137
143,3039,0.59032634032634,5148
145,3050,0.591199844931188,5159
147,3059,0.59179725285355,5169
149,3068,0.592392353736243,5179
151,3073,0.59278549382716,5184
153,3084,0.593533487297921,5196
155,3094,0.594314252785248,5206
157,3098,0.594625719769674,5210
159,3106,0.595247221157532,5218
161,3110,0.595557257755649,5222
163,3116,0.59602142310635,5228
165,3124,0.596638655462185,5236
167,3134,0.597407548608464,5246
169,3136,0.597447132787198,5249
171,3144,0.598059729883964,5257
173,3154,0.598822859312702,5267
175,3158,0.59912730032252,5271
177,3161,0.59935532802427,5274
179,3164,0.59958309645632,5277
181,3168,0.599886385154327,5281
183,3173,0.600264850548619,5286
185,3175,0.600416036308623,5288
187,3179,0.600718065003779,5292
189,3183,0.601019637462236,5296
191,3184,0.601094959410987,5297
193,3184,0.601094959410987,5297
195,3189,0.601471142964919,5302
197,3193,0.601771579344139,5306
199,3196,0.601996609530985,5309
201,3198,0.60214648842026,5311
203,3199,0.602221385542169,5312
205,3203,0.602520692249812,5316
207,3204,0.602595448561219,5317
209,3205,0.60267017675818,5318
